# 1
# 0.000000000 0.200000000 50 0
0.1000000 0.0014978 
0.3000000 0.0020389 
0.5000000 0.0020145 
0.7000000 0.0050878 
0.9000000 0.0238347 
1.1000000 0.0505993 
1.3000000 0.0748918 
1.5000000 0.0887263 
1.7000000 0.0956342 
1.9000000 0.0949031 
2.1000000 0.0897264 
2.3000000 0.0820996 
2.5000000 0.0718306 
2.7000000 0.0608728 
2.9000000 0.0514727 
3.1000000 0.0424093 
3.3000000 0.0343370 
3.5000000 0.0279458 
3.7000000 0.0222213 
3.9000000 0.0173846 
4.1000000 0.0138723 
4.3000000 0.0108412 
4.5000000 0.0084445 
4.7000000 0.0065723 
4.9000000 0.0048500 
5.1000000 0.0037489 
5.3000000 0.0029267 
5.5000000 0.0022422 
5.7000000 0.0016878 
5.9000000 0.0013522 
6.1000000 0.0010167 
6.3000000 0.0007600 
6.5000000 0.0005733 
6.7000000 0.0004111 
6.9000000 0.0003200 
7.1000000 0.0002244 
7.3000000 0.0001689 
7.5000000 0.0001211 
7.7000000 0.0000967 
7.9000000 0.0000567 
8.1000000 0.0000533 
8.3000000 0.0000356 
8.5000000 0.0000344 
8.7000000 0.0000178 
8.9000000 0.0000122 
9.1000000 0.0000133 
9.3000000 0.0000044 
9.5000000 0.0000056 
9.7000000 0.0000044 
9.9000000 0.0000033 
